GEO_id2	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black
39007001102	0.9609121	13.8804016	9.4	8.0304311	6.5607172	2.2801303	0.7166124
39007001200	2.8400986	17.3837209	7.8392945	6.2206573	4.664311	4.1758527	2.2176112
39007001301	2.3427218	16.4221679	8.014572	16.0654828	10.9992254	0	0.7633588
39007001302	0	13.2322819	6.3322884	9.4727939	2.4442847	0	5.2156752
39007001400	0.4796802	19.0711675	10.1283482	10.298103	4.4712286	1.3724184	0.7594937
39007990000	0	0	0	0	0	0	0
39009972600	0.0892459	20.3222263	12.9660545	24.3558145	11.9753086	1.6733601	0.9370817
39009972700	2.4652944	19.9775952	13.8410228	31.2756209	9.2624357	1.7233126	4.2364768
39009972800	1.2394762	22.8855721	25.9530026	36.3233666	8.3437111	0	2.7362021
39009972900	4.9085311	10.3009618	6.4547677	32.7687776	9.5934217	1.7388154	1.9380547
39009973000	5.2463212	5.5160142	5.9038663	32.2776712	2.9327611	2.6871401	1.8554063
39009973101	2.0305727	6.501548	17.4284279	80.9739992	0	3.2854209	4.6771618
39009973200	11.6965457	5.1646223	8.6090076	20.6957288	5.0552923	0.7651946	3.2575426
39009973300	9.3547551	4.8287247	2.2644928	18.4762892	1.4662757	5.364084	1.8398549
39009973400	3.0075188	14.5979021	15.2392947	33.9791787	9.7647897	1.4459225	5.2920763
39009973500	0.2075919	18.9837398	10.8333333	18.2977461	4.990151	0.4744959	6.5539739
39009973600	0	13.3188563	9.5090439	10.8833207	5.408886	0.4555809	0
39009973700	1.7354125	12.8926224	7.7819199	14.1348089	4.4415415	0	1.6851107
39009973800	0	10.3229892	9.6431606	25.5463918	6.7987152	2.4536083	0.3092784
39009973901	8.2270671	9.0497738	11.2175103	85.5111111	0	1.8785136	3.9215686
39009973902	10.9315589	19.2495922	17.6347096	63.3291086	2.1764032	0	1.4258555
39011040100	0.5637584	9.9575454	7.8701427	4.9422509	4.6735395	1.1543624	0.1610738
39011040200	0.2463054	12.2727273	11.1279717	11.3695766	9.7530864	1.5517241	0.4187192
39011040300	0	11.7783985	6.5467266	15.289033	17.3770492	0.5620985	0
