OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1
1545	39021010400	1.0472678	0.080386677	-1.013210129	-1.763167078	-0.412950954	1.06118596	-0.940637528	0.031331702	-0.573358408	-0.665202685	0.335906887	0.165839524	0.063237162	-0.493320455	-0.264637467	-0.097263571	32964.55988	64081587.51	-0.214912035
1546	39021010600	0.632552846	-0.188730742	-0.097562778	0.362238841	-0.350827492	0.739797511	-0.940637528	0.541125498	-0.619658506	-0.021257107	-0.194284333	0.929297165	-0.042074385	-0.528110467	0.220957038	-0.0618183	20111.53053	14278341.79	0.023812954
1547	39021010500	1.0472678	0.028813652	-0.417754988	0.362238841	-0.350827492	0.739797511	-0.940637528	-0.060613611	-0.341857918	-0.281729475	-0.194284333	0.965411529	-0.223362047	-0.528110467	-0.021840214	-0.018875846	15892.2074	11966912.04	-0.014772787
1548	39169003300	0.632552846	-0.914503848	-0.439935266	1.205875678	1.029427691	0.433978796	-0.940637528	1.04448234	-0.333439718	0.777524824	-0.194284333	2.395540314	0.426821001	-0.528110467	-1.478623728	-0.089902562	43254.46484	100816683.9	0.189172878
1549	39169002100	0.217837892	0.84554282	-0.136236082	0.635371286	0.029434956	-0.27874212	-0.455593023	1.093945537	-0.27451232	0.427334195	-0.194284333	-1.244787506	0.70608329	-0.528110467	-0.507434719	-0.104907263	55338.42041	178907080.5	0.014433884
1550	39169000900	1.254625277	0.849293585	0.078173266	0.79162097	0.358856454	-0.216458017	-0.940637528	0.631926528	0.070633866	0.315909904	-0.194284333	1.788819012	0.318278988	-0.528110467	0.46375429	-0.060933423	51436.90272	124872297.9	0.311341773
1551	39169001400	1.66934023	-0.13246926	-0.615102585	0.816837173	0.432262428	-0.11586276	-0.940637528	0.913159387	-0.53968561	0.12923804	-0.194284333	-1.244787506	0.272688931	-0.449187542	-0.507434719	-0.101862173	41758.11082	78153004.77	-0.037986739
1552	39169001900	-0.404234539	0.551107735	-0.582685256	0.85807707	0.653733964	-0.039446643	-0.455593023	0.756106369	-0.922713694	-0.193458284	-0.194284333	0.272015751	0.746559129	-0.528110467	-0.021840214	-0.112221496	46459.34978	125516303.4	0.023938254
1553	39021011506	-0.404234539	0.612057673	-0.752165325	0.63859441	0.624288	0.306031433	-0.940637528	0.590554511	-0.169284825	-0.226740864	-0.194284333	-1.244787506	0.773654101	-0.470708289	0.220957038	-0.115631642	57216.74408	176484516.9	-0.047021105
1554	39021011505	-1.233664446	0.611119982	-0.396712161	0.628666499	1.046978266	1.007633745	-0.940637528	0.750830831	-0.122984726	0.033731504	-0.194284333	1.637138683	0.586496218	-0.528110467	-0.507434719	-0.106013609	48370.3633	131068120.5	0.142047109
1555	39021011504	-2.892524261	0.385136366	-0.430835665	-1.763167078	0.330719819	1.06118596	-0.940637528	-0.158234368	-0.501803711	0.302886285	-0.194284333	2.774741127	0.7292423	-0.528110467	-0.264637467	-0.113514337	88511.46328	322396405.9	-0.137739835
