OBJECTID,GEO_id,foreign_born_pct,edu_less_hs,unemployment,below_poverty,female_headed_hh,pct_Hispanic,pct_Black,county,OI,FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID10,NAME,LSAD,ALAND,AWATER,full_ct_cs,SEBS_All
1.000000000000000,39123050100.000000000000000,3.136531400000000,4.761904800000000,4.290429000000000,6.826568300000000,3.260869600000000,2.583025800000000,1.660516600000000,Ottawa,6.793131034000000,1648,39,123,50100,1400000US39123050100,39123050100.000000000000000,39123050100.000000000000000,501,CT,12927970.000000000000000,424219781.000000000000000,39123050100.000000000000000,0.000000000000000
2.000000000000000,39069000600.000000000000000,0.458847200000000,10.237581000000000,8.254156800000001,13.376356700000001,11.159420300000001,8.144536900000000,0.430169200000000,Henry,20.219091490000000,2206,39,69,600,1400000US39069000600,39069000600.000000000000000,39069000600.000000000000000,6,CT,172208900.000000000000000,103802.000000000000000,39069000600.000000000000000,0.004194300000000
3.000000000000000,39069000100.000000000000000,0.787083800000000,4.551007900000000,3.952869600000000,3.934760500000000,4.628632900000000,5.005045400000000,0.787083800000000,Henry,11.725577350000000,87,39,69,100,1400000US39069000100,39069000100.000000000000000,39069000100.000000000000000,1,CT,170183350.000000000000000,5335632.000000000000000,39069000100.000000000000000,0.003451000000000
4.000000000000000,39069000500.000000000000000,3.388786200000000,11.314847900000000,7.835400200000000,12.327477999999999,7.000000000000000,7.917436900000000,0.061614300000000,Henry,17.712048559999999,995,39,69,500,1400000US39069000500,39069000500.000000000000000,39069000500.000000000000000,5,CT,253298704.000000000000000,0.000000000000000,39069000500.000000000000000,0.003314500000000
5.000000000000000,39069000200.000000000000000,0.106524600000000,6.252427200000000,1.478560900000000,1.723673600000000,2.005730700000000,4.314247700000000,0.026631200000000,Henry,6.246787887000000,978,39,69,200,1400000US39069000200,39069000200.000000000000000,39069000200.000000000000000,2,CT,213777948.000000000000000,1223040.000000000000000,39069000200.000000000000000,0.007140500000000
6.000000000000000,39069000700.000000000000000,2.986217500000000,10.426370500000001,2.860226700000000,9.873949600000000,5.956907500000000,12.021439500000000,0.280755500000000,Henry,14.915971799999999,2641,39,69,700,1400000US39069000700,39069000700.000000000000000,39069000700.000000000000000,7,CT,217890754.000000000000000,714827.000000000000000,39069000700.000000000000000,0.005199300000000
7.000000000000000,39069000400.000000000000000,1.608579100000000,15.267175600000000,10.428410400000001,24.188976400000001,12.865895200000001,10.068513599999999,1.310694100000000,Henry,33.850779789999997,980,39,69,400,1400000US39069000400,39069000400.000000000000000,39069000400.000000000000000,4,CT,35406060.000000000000000,1566414.000000000000000,39069000400.000000000000000,0.005883500000000
8.000000000000000,39069000300.000000000000000,1.140757900000000,6.120125300000000,4.060509600000000,10.313467500000000,9.006816000000001,5.355761800000000,0.270688300000000,Henry,20.487505779999999,979,39,69,300,1400000US39069000300,39069000300.000000000000000,39069000300.000000000000000,3,CT,14695760.000000000000000,743930.000000000000000,39069000300.000000000000000,0.005632000000000
9.000000000000000,39103409002.000000000000000,1.835065200000000,7.081225800000000,4.144218800000000,8.891838099999999,1.745772000000000,0.840150300000000,1.857174400000000,Medina,9.531786529000000,1636,39,103,409002,1400000US39103409002,39103409002.000000000000000,39103409002.000000000000000,4090,CT,51590075.000000000000000,1277818.000000000000000,39103409002.000000000000000,0.004526300000000
10.000000000000000,39103403001.000000000000000,0.361772700000000,10.438247000000000,2.070393400000000,6.150135700000000,0.000000000000000,0.000000000000000,0.030147700000000,Medina,6.715842883000000,270,39,103,403001,1400000US39103403001,39103403001.000000000000000,39103403001.000000000000000,4030,CT,58608921.000000000000000,47031.000000000000000,39103403001.000000000000000,0.006648400000000
11.000000000000000,39103402000.000000000000000,1.658722600000000,8.032024800000000,3.736654800000000,4.068061800000000,0.673226300000000,5.338417500000000,0.171592000000000,Medina,4.258190753000000,115,39,103,402000,1400000US39103402000,39103402000.000000000000000,39103402000.000000000000000,4020,CT,66582949.000000000000000,10564.000000000000000,39103402000.000000000000000,0.004006200000000
12.000000000000000,39103408301.000000000000000,3.252760400000000,4.101221600000000,2.792140600000000,4.845548200000000,2.180685400000000,1.432408200000000,2.238137900000000,Medina,7.069551666000000,272,39,103,408301,1400000US39103408301,39103408301.000000000000000,39103408301.000000000000000,4083,CT,7318106.000000000000000,35245.000000000000000,39103408301.000000000000000,0.001976400000000
13.000000000000000,39103408302.000000000000000,2.947801400000000,5.196198700000000,3.556642800000000,5.187605200000000,7.738954700000000,0.979336000000000,2.281852900000000,Medina,10.280940330000000,2268,39,103,408302,1400000US39103408302,39103408302.000000000000000,39103408302.000000000000000,4083,CT,9756200.000000000000000,8743.000000000000000,39103408302.000000000000000,0.002517000000000
14.000000000000000,39103408100.000000000000000,1.322029000000000,6.527303800000000,4.812239200000000,13.576494400000000,9.318637300000001,2.543468900000000,9.311682700000000,Medina,29.693596370000002,962,39,103,408100,1400000US39103408100,39103408100.000000000000000,39103408100.000000000000000,4081,CT,12189516.000000000000000,45907.000000000000000,39103408100.000000000000000,0.002542700000000
15.000000000000000,39103404000.000000000000000,4.100397600000000,4.800540900000000,2.282063000000000,1.494396000000000,1.910408400000000,2.982107400000000,0.000000000000000,Medina,7.544176330000000,961,39,103,404000,1400000US39103404000,39103404000.000000000000000,39103404000.000000000000000,4040,CT,34288753.000000000000000,106553.000000000000000,39103404000.000000000000000,0.003479500000000
