OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
61	39103411002	1.1142061	10.7142857	6.6431095	23.816156	11.5257048	1.3927577	2.1587744	Medina
62	39103400100	6.2619808	3.5916135	4.3733203	4.4076073	0.5898682	0.9968051	0.115016	Medina
63	39103410000	1.8339768	16.6333467	6.8218733	9.4157412	4.7950503	4.8986487	0	Medina
64	39103405000	2.4400967	4.6770601	3.0795552	7.9138272	2.9805353	0.30776	0	Medina
65	39103413000	1.6043694	6.6340782	2.8646691	2.4835012	3.0896432	2.4748251	0.2048131	Medina
66	39165031902	9.5787597	1.609658	3.9006472	3.9751319	5.6457304	2.3641993	2.3829628	Warren
67	39165031903	17.0358777	1.4000806	1.8877683	0.5371801	4.1565704	5.2371779	2.35974	Warren
68	39165030101	0.6330545	12.1653677	8.2408198	5.2691347	3.7546934	0.8365363	3.7757178	Warren
69	39165032005	20.2171665	4.1264383	1.2516105	4.0139616	8.2538168	1.7752499	4.584626	Warren
70	39165031904	8.0410476	4.004065	7.2876712	4.6144317	8.0765144	0.5820187	2.067698	Warren
71	39165032003	3.7849462	2.1370207	2.1701172	1.5861572	7.6083248	1.3333333	2.8530466	Warren
72	39165032006	16.2740899	4.3132804	4.0834846	2.4089936	1.6657094	5.1659529	0.7494647	Warren
73	39165032100	6.4565251	14.6537462	8.0438757	5.5979256	6.6574839	4.1114664	1.7664078	Warren
74	39165030102	0.9035409	12.1310295	8.1304771	11.0808805	6.1630219	0.8302808	0.8547009	Warren
75	39165032007	14.1183724	4.7258546	2.0245072	3.1216195	2.4883359	7.9685573	2.0345253	Warren
76	39165030700	3.2935004	8.6096939	10.2910291	5.2662635	6.9449715	2.2005246	2.5357039	Warren
77	39165030200	0	25.5813954	14.0569395	27.0183853	8.1180812	0.9592326	0	Warren
78	39075976500	0.1314307	12.1254551	4.198895	15.5003762	5.6389033	2.6849418	0	Holmes
79	39075976600	0.6604176	18.1848515	8.4819487	15.6376843	5.2884615	0.4686834	0	Holmes
80	39075976700	2.7439752	16.381336	8.2125604	14.7918731	8.3916084	3.65068	0.3579098	Holmes
81	39075976302	0.1150937	64.5611904	0.9034908	9.2376374	1.8354861	0	0.1973035	Holmes
82	39075976301	0.82038	58.4347826	1.3917526	12.5863558	1.7559263	0.4317789	0	Holmes
83	39075976802	0	66.9230769	0.4910714	17.5323252	1.0666667	0	0	Holmes
84	39075976801	0.1757813	67.5424414	0.4388103	11.8947998	1.2964564	0.15625	0.4101563	Holmes
85	39061024800	3.8851841	1.0471204	2.9907559	2.2248244	3.1007752	1.8266164	0.2609452	Hamilton
86	39061024901	11.1313869	18.2754183	4.5528455	22.9477612	7.5514874	13.0474453	0	Hamilton
