OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1_new
585	39049009325	-0.266641587	-1.393239787	-0.712452715	-0.979097851	-1.315074646	-0.329813343	0.76394562	0.228550329	-0.06980977	-1.113520413	0.125504563	-0.851301358	-0.612341329	0.288170803	-1.301212471	-0.059564833	12268.17562	8923253.796	-0.474868674
586	39049009323	0.057931684	-0.120075193	-0.853644601	-1.700699592	-1.124689919	-1.418956551	1.161227961	-0.633432068	0.20154988	-0.598186182	-0.073930404	-1.232350295	-1.491238737	0.628844334	-0.378409028	0.178275225	5825.39814	1883897.704	-0.462361468
587	39043040300	-0.449388422	0.547876786	-0.208653764	0.983676725	1.114643615	-0.329813343	-0.758970022	0.298010465	0.182507097	0.444329044	-0.073930404	1.227615999	0.605622475	-0.493829803	0.082992693	-0.170161358	76745.02907	266501287.2	0.187657986
588	39093010100	-0.511404809	0.553123377	2.335217319	1.495220117	1.681840015	2.046499113	-0.692756299	0.792362218	0.549080659	2.06141232	-0.073930404	0.926662674	0.906283578	-0.421736627	1.467197857	-0.084579812	21546.64705	20293425.71	0.814405706
589	39093010200	-0.663270117	0.549796869	1.495778921	1.530898815	1.704455911	1.452420998	-0.758970022	0.814704151	1.848750561	1.132922197	-0.073930404	-1.232350295	0.892177262	-0.18671032	1.467197857	-0.134506179	11293.61427	7740670.584	0.614960388
590	39093010300	-0.763188124	0.655352134	0.858161968	1.53981849	1.577344294	0.066238734	-0.560328851	0.533034107	0.453866747	0.602779511	-0.073930404	-1.232350295	0.795464471	-0.432070496	1.467197857	-0.127496735	11885.96698	8064954.409	0.334993338
591	39093010400	-0.274186018	-0.447075411	0.578922522	1.483624534	0.743537316	-0.329813343	-0.361687681	0.449122392	-0.274519681	0.445809889	-0.073930404	-1.232350295	0.830922683	-0.145461207	1.467197857	0.072635581	22813.77192	15178654.65	0.183296796
592	39093021100	-0.598006241	0.732385039	-0.573082257	1.215588287	0.45698363	-1.121917493	-0.361687681	0.462874303	-0.1459809	-0.229455655	-0.073930404	2.693127831	0.336998108	-0.197167794	0.544394415	-0.19745887	11555.27173	5265990.735	0.18397902
593	39093021200	-1.270359499	0.571538039	-0.486270458	0.538584924	0.43966191	-1.121917493	-0.361687681	0.25080374	1.063235785	-0.122834779	-0.073930404	2.693127831	0.471168896	-0.408643075	0.544394415	-0.20231439	11908.28718	6316724.929	0.15778486
594	39093022100	-0.08754648	0.495781681	-0.132899715	-1.281474847	-0.968229036	-1.319943531	-0.957611193	1.200593669	0.644294572	-0.364212594	-0.073930404	-1.232350295	0.642824715	-0.493829803	1.467197857	-0.218035898	7139.517665	1936824.631	-0.167460706
595	39003012200	0.390166707	-0.273296592	-0.753398482	-0.148676068	-0.465950539	-0.824878438	-0.758970022	-0.018056723	-0.645853939	-0.765521722	0.783756614	0.206991686	-0.147284653	-0.357920607	0.082992693	-0.177295164	7508.328325	3425977.591	-0.242074703
596	39003012500	1.375242345	-0.212028841	-1.131193414	-0.376127791	-0.315554828	-0.725865418	-1.023824916	-0.976898825	-0.050766988	-1.427459657	-0.073930404	1.122936581	-1.552175414	-0.493829803	-1.301212471	-0.088724225	8966.546233	2987065.268	-0.453213379
597	39003012700	1.789596962	-1.167816596	-0.981208161	-0.226277244	-0.893853577	-0.725865418	-0.758970022	-0.913115932	-0.702982286	-1.52815715	-0.073930404	1.201446143	-0.907529898	-0.493829803	-0.83981075	-0.195029985	5339.056638	1646369.282	-0.463583383
598	39003012800	1.327186582	-3.26491848	-1.066079848	-0.376127791	1.194570249	-0.725865418	-0.758970022	-4.931476221	-1.026709588	-1.308992017	0.186914452	-1.232350295	-2.226354385	-0.154234239	-0.378409028	0.505814398	5855.967563	1958781.485	-0.889750103
599	39003012900	1.055106925	-0.261971873	-0.971709253	0.023473668	1.194570249	-0.131787305	-0.758970022	-2.044378291	-0.517315157	-1.012822919	-0.073930404	-1.232350295	-1.751124446	-0.29984755	-0.378409028	0.170794839	5082.352189	1438166.847	-0.436916929
600	39003013100	1.985023506	0.137866689	-0.443701183	-0.143324262	0.457497628	-1.715995606	-0.758970022	0.607867161	-1.00290611	-0.718134667	-0.073930404	2.693127831	0.547334206	-0.493829803	0.544394415	-0.186961284	7179.963052	2635833.848	0.089709881
601	39003013200	1.54227759	0.521117927	0.211034974	-0.403778785	0.457497628	-1.715995606	-0.758970022	0.819412586	-0.198348551	-0.71369213	-0.073930404	-1.232350295	-0.214356874	-0.493829803	0.544394415	-0.210145806	5675.623087	1834065.375	-0.119978947
602	39049008720	0.084096061	-0.940658539	-0.721793568	-1.726566652	-1.431443712	-2.013034664	1.823365197	-0.114929019	-0.755349938	-0.762560031	-0.073930404	-0.498217017	-0.118181542	0.861014997	-0.378409028	-0.129172416	10675.22286	4846790.102	-0.430985642
